trimestre_date,annee,code_region,nom_region,operations_actives,valeur_operation_manquante,periode
2024-12-01,2024,52,Pays-de-la-Loire,58,False,2024Q4
2023-09-01,2023,75,Nouvelle-Aquitaine,23,False,2023Q3
2023-09-01,2023,76,Occitanie,35,False,2023Q3
2022-06-01,2022,93,Provence-Alpes-Côte-d'Azur,7,False,2022Q2
2024-06-01,2024,76,Occitanie,69,False,2024Q2
2023-09-01,2023,44,Grand-Est,34,False,2023Q3
2023-03-01,2023,11,Île-de-France,6,False,2023Q1
2023-03-01,2023,52,Pays-de-la-Loire,13,False,2023Q1
2021-09-01,2021,27,Bourgogne-Franche-Comté,0,False,2021Q3
2022-09-01,2022,76,Occitanie,21,False,2022Q3
2022-12-01,2022,27,Bourgogne-Franche-Comté,5,False,2022Q4
2025-03-01,2025,84,Auvergne-Rhônes-Alpes,124,False,2025Q1
2022-03-01,2022,27,Bourgogne-Franche-Comté,0,True,2022Q1
2022-03-01,2022,32,Hauts-de-France,22,False,2022Q1
2021-03-01,2021,44,Grand-Est,0,True,2021Q1
2024-03-01,2024,93,Provence-Alpes-Côte-d'Azur,27,False,2024Q1
2023-12-01,2023,53,Bretagne,31,False,2023Q4
2021-09-01,2021,76,Occitanie,14,False,2021Q3
2025-06-01,2025,52,Pays-de-la-Loire,101,False,2025Q2
2025-03-01,2025,44,Grand-Est,100,False,2025Q1
2025-03-01,2025,76,Occitanie,135,False,2025Q1
2021-06-01,2021,28,Normandie,3,False,2021Q2
2024-12-01,2024,32,Hauts-de-France,68,False,2024Q4
2024-09-01,2024,53,Bretagne,45,False,2024Q3
2022-06-01,2022,53,Bretagne,10,False,2022Q2
2023-03-01,2023,75,Nouvelle-Aquitaine,16,False,2023Q1
2023-09-01,2023,24,Centre-Val-de-Loire,4,False,2023Q3
2024-06-01,2024,44,Grand-Est,57,False,2024Q2
2022-12-01,2022,52,Pays-de-la-Loire,14,False,2022Q4
